"date","count","lang","page","rank","month","title"
2008-10-13,186,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-18,115,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-10-19,156,"de","Ausl%C3%A4nder","-1","200810","Ausländer"
2008-11-28,136,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-29,140,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-17,254,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-16,240,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-15,144,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-14,137,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-13,245,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-12,247,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-11,280,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-10,244,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-30,185,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-19,283,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-18,338,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-26,308,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-27,267,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-01,164,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-02,223,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-03,265,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-04,388,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-05,279,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-06,311,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-07,188,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-08,143,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-09,173,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-24,297,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-25,229,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-22,150,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-23,257,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-20,289,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-11-21,246,"de","Ausl%C3%A4nder","-1","200811","Ausländer"
2008-12-29,117,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-28,122,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-27,129,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-26,100,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-25,88,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-24,68,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-23,109,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-22,83,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-21,125,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-20,119,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-05,172,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-04,252,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-07,230,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-06,146,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-01,220,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-03,272,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-02,320,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-09,295,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-08,271,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-30,129,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-31,97,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-16,245,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-17,224,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-14,260,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-15,233,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-12,176,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-13,171,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-10,266,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-11,262,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-18,201,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2008-12-19,148,"de","Ausl%C3%A4nder","-1","200812","Ausländer"
2009-01-29,287,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-19,289,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-18,264,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-13,321,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-12,300,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-11,235,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-10,171,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-17,181,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-16,201,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-15,327,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-14,323,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-31,166,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-30,204,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-24,202,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-22,269,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-23,216,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-20,274,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-21,281,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-27,315,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-04,190,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
2009-01-05,247,"de","Ausl%C3%A4nder","-1","200901","Ausländer"
